Dept Name,Position Description,Job Min Annual,Job Max Annual,Neg Body
GOVERNOR AND STAFF,GOVERNOR,,208619.0,STATPOST
GOVERNOR AND STAFF,AIDE-DE-CAMP,,114782.0,REG
GOVERNOR AND STAFF,PRIVATE SECRETARY,77419.0,81771.0,BPSU
GOVERNOR AND STAFF,SOCIAL SECRETARY,62489.0,66982.0,BPSU
GOVERNOR AND STAFF,BUTLER,62489.0,66982.0,BPSU
GOVERNOR AND STAFF,LIVE-IN DOMESTIC,,36044.0,MISC
GOVERNOR AND STAFF,LAUNDRY MAID,,44839.0,MISC
GOVERNOR AND STAFF,PANTRY ASSISTANT,,55236.0,MISC
GOVERNOR AND STAFF,EXECUTIVE CHEF,,61175.0,MISC
GOVERNOR AND STAFF,EXECUTIVE ASSISTANT,66982.0,69449.0,BPSU
GOVERNOR AND STAFF,EXECUTIVE OFFICER,,69364.0,MISC
LEGISLATURE,DEPUTY CLERK TO THE LEGISLATUR,100668.0,108268.0,BPSU
LEGISLATURE,ASST CLERK TO THE LEGISLATURE,79895.0,84445.0,BPSU
LEGISLATURE,ADMINISTRATIVE OFFICER,72011.0,77419.0,BPSU
LEGISLATURE,ADMINISTRATIVE ASSISTANT,64606.0,69449.0,BPSU
LEGISLATURE,SERGEANT-AT-ARMS,64606.0,69449.0,BPSU
LEGISLATURE,PARLIAMENTARY INFO. OFFICER,87149.0,87149.0,BPSU
LEGISLATURE,MEMBER/PREMIER,,207285.0,LEGCO
LEGISLATURE,MEMBER/SPEAKER OF HOUSE,,82592.0,LEGCO
LEGISLATURE,MEMBER/DEPUTY SPEAKER,,69308.0,LEGCO
LEGISLATURE,MEMBER/ATTORNEY GENERAL,196287.0,203045.0,LEGCO
LEGISLATURE,MEMBER/DEPUTY PREMIER/MINISTER,,168965.0,LEGCO
LEGISLATURE,MEMBER/MINISTER,,156864.0,LEGCO
LEGISLATURE,MEMBER/GOVT. WHIP,,63616.0,LEGCO
LEGISLATURE,MEMBER,,56023.0,LEGCO
LEGISLATURE,MEMBER,,,LEGCO
LEGISLATURE,MEMBER/ MINISTER,,106444.0,LEGCO
LEGISLATURE,MEMBER/ JUNIOR MINISTER,,67410.0,LEGCO
LEGISLATURE,MEMBER/OPP LEADER,,86390.0,LEGCO
LEGISLATURE,MEMBER/OPP WHIP,,63616.0,LEGCO
LEGISLATURE,SENATOR/PRES. SENATE,,45548.0,LEGCO
LEGISLATURE,SENATOR/VICE-PRESIDENT,,33675.0,LEGCO
LEGISLATURE,SENATOR/JUNIOR MINISTER,,41792.0,LEGCO
LEGISLATURE,SENATOR,,30367.0,LEGCO
LEGISLATURE,SENATOR/MINISTER,,131208.0,LEGCO
LEGISLATURE,SENATOR/ JUNIOR MINISTER,,41792.0,LEGCO
LEGISLATURE,AIDE TO THE OPPOSITION LEADER,,66982.0,MISBPSU
JUDICIAL,MANAGER,108268.0,115610.0,BPSU
JUDICIAL,RELIEF ADMIN OFFICER-FRONT,74661.0,79895.0,BPSU
JUDICIAL,CUSTOMER SERVICE REP.,53736.0,56823.0,BPSU
JUDICIAL,DATA PROCESSOR,51837.0,55702.0,BPSU
JUDICIAL,ASSISTANT REGISTRAR,157752.0,157752.0,BPSU
JUDICIAL,T/A  ASSISTANT REGISTRAR,157752.0,157752.0,BPSU
JUDICIAL,RELIEF PROBATES ADMIN ASST.,56823.0,56824.0,BPSU
JUDICIAL,PUISNE JUDGE,205068.0,205068.0,STATPOST
JUDICIAL,PUISNE JUDGE,205068.0,205068.0,BPSU
JUDICIAL,REGISTRAR OF SUPREME COURT,179853.0,187893.0,BPSU
JUDICIAL,RELIEF REGISTRAR-SUPREME COURT,151004.0,179714.0,BPSU
JUDICIAL,COURT ASSOCIATE,58600.0,62489.0,BPSU
JUDICIAL,RELIEF COURT ASSOCIATE,58600.0,58600.0,BPSU
JUDICIAL,SENIOR COURT ASSOCIATE,64606.0,69449.0,BPSU
JUDICIAL,COURT ATTENDANT/MESSENGER,48249.0,51837.0,BPSU
JUDICIAL,ASSISTANT PUISNE JUDGE,179853.0,205068.0,BPSU
JUDICIAL,ADMINISTRATIVE ASSISTANT,62489.0,66982.0,BPSU
JUDICIAL,RELIEF LISTING OFFICER,58600.0,58599.0,BPSU
JUDICIAL,ADMINISTRATIVE OFFICER-C.A.,74661.0,79895.0,BPSU
JUDICIAL,ASST. TO ADMIN. OFF.-COURT APP,58600.0,62489.0,BPSU
JUDICIAL,INFORMATION TECHNOLOGY MANAGER,108268.0,115610.0,BPSU
JUDICIAL,INFORMATION TECHNOLOGY ASST.,74661.0,79895.0,BPSU
JUDICIAL,SENIOR MAGISTRATE,187893.0,187893.0,STATPOST
JUDICIAL,MAGISTRATE,164794.0,164794.0,STATPOST
JUDICIAL,MAGISTRATE,164794.0,164794.0,BPSU
JUDICIAL,ADMINISTRATIVE ASSISTANT,60567.0,64606.0,BPSU
